id,Bestellnummer,Menge,EAN,Name,Variante,Kategorie,L3-EK (privat),Aufschlag Standard,Aufschlag Minimum,VK
CAT00046,"=""LMB4001002""",,"=""4262403384514""",Lost Mary BM600 CP Einweg E-Zigarette - Blue Razz Ice (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00047,"=""LMB4001003""",,"=""4262403384521""",Lost Mary BM600 CP Einweg E-Zigarette - Blueberry (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00048,"=""LMB4001008""",,"=""4262403384576""",Lost Mary BM600 CP Einweg E-Zigarette - Crazy Apple (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00049,"=""LMB4001023""",,"=""4262403384729""",Lost Mary BM600 CP Einweg E-Zigarette - Watermelon Ice (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00050,"=""802094""",,"=""4260769632393""",4x Vaporesso XROS Mesh Pod Tank Verdampfer - 1.0 Ohm,"=""1.0""",Pods,,25%,15%,
CAT00051,"=""LM101002""",,"=""4262403384033""",Lost Mary BM600 CP Einweg E-Zigarette - Blue Razz Ice,"=""20mg""",Einweg,,25%,15%,
CAT00052,"=""LM101003""",,"=""4262403384040""",Lost Mary BM600 CP Einweg E-Zigarette - Blueberry,"=""20mg""",Einweg,,25%,15%,
CAT00053,"=""LM101004""",,"=""4262403384057""",Lost Mary BM600 CP Einweg E-Zigarette - Blueberry Sour Raspberry,"=""20mg""",Einweg,,25%,15%,
CAT00054,"=""LM101007""",,"=""4262403384088""",Lost Mary BM600 CP Einweg E-Zigarette - Cotton Candy Ice,"=""20mg""",Einweg,,25%,15%,
CAT00055,"=""LM101008""",,"=""4262403384095""",Lost Mary BM600 CP Einweg E-Zigarette - Crazy Apple,"=""20mg""",Einweg,,25%,15%,
CAT00056,"=""LM101011""",,"=""4262403384125""",Lost Mary BM600 CP Einweg E-Zigarette - Kiwi Passion Fruit Guava,"=""20mg""",Einweg,,25%,15%,
CAT00057,"=""LM101017""",,"=""4262403384187""",Lost Mary BM600 CP Einweg E-Zigarette - Pink Lemonade,"=""20mg""",Einweg,,25%,15%,
CAT00058,"=""LM101019""",,"=""4262403384200""",Lost Mary BM600 CP Einweg E-Zigarette - Strawberry Ice,"=""20mg""",Einweg,,25%,15%,
CAT00059,"=""LM101021""",,"=""4262403384224""",Lost Mary BM600 CP Einweg E-Zigarette - Triple Mango,"=""20mg""",Einweg,,25%,15%,
CAT00060,"=""LM101022""",,"=""4262403384231""",Lost Mary BM600 CP Einweg E-Zigarette - Triple Melon,"=""20mg""",Einweg,,25%,15%,
CAT00061,"=""LM101023""",,"=""4262403384248""",Lost Mary BM600 CP Einweg E-Zigarette - Watermelon Ice,"=""20mg""",Einweg,,25%,15%,
CAT00062,"=""LMB101002""",,"=""4262403384279""",Lost Mary BM600 CP Einweg E-Zigarette - Blue Razz Ice (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00063,"=""LMB101003""",,"=""4262403384286""",Lost Mary BM600 CP Einweg E-Zigarette - Blueberry (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00064,"=""LMB101004""",,"=""4262403384293""",Lost Mary BM600 CP Einweg E-Zigarette - Blueberry Sour Raspberry (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
