id,Bestellnummer,Menge,EAN,Name,Variante,Kategorie,L3-EK (privat),Aufschlag Standard,Aufschlag Minimum,VK
CAT00385,"=""9501079""",,"=""4262445578476""",Nevoks Feelin AX Pod Kit,"=""sky-blue""",Pods,,25%,15%,
CAT00386,"=""9501081""",,"=""4262445578490""",Nevoks Feelin AX Pod Kit,"=""lake-green""",Pods,,25%,15%,
CAT00387,"=""9501080""",,"=""4262445578483""",Nevoks Feelin AX Pod Kit,"=""aurora-red""",Pods,,25%,15%,
CAT00388,"=""9501078""",,"=""4262445578469""",Nevoks Feelin AX Pod Kit,"=""misty-grey""",Pods,,25%,15%,
CAT00389,"=""9501083""",,"=""4262445578513""",Nevoks Feelin AX Pod Kit,"=""pearl-white""",Pods,,25%,15%,
CAT00390,"=""9501082""",,"=""4262445578506""",Nevoks Feelin AX Pod Kit,"=""lavender-violet""",Pods,,25%,15%,
CAT00391,"=""8101223""",,"=""4262445577929""",OXVA Xlim Go Pod Kit,"=""black""",Pods,,25%,15%,
CAT00392,"=""8101224""",,"=""4262445577936""",OXVA Xlim Go Pod Kit,"=""dark-grey""",Pods,,25%,15%,
CAT00393,"=""8101227""",,"=""4262445577950""",OXVA Xlim Go Pod Kit,"=""light-brown""",Pods,,25%,15%,
CAT00394,"=""8101226""",,"=""4262445577943""",OXVA Xlim Go Pod Kit,"=""dark-brown""",Pods,,25%,15%,
CAT00395,"=""8101225""",,"=""4262445577967""",OXVA Xlim Go Pod Kit,"=""red""",Pods,,25%,15%,
CAT00396,"=""8101229""",,"=""4262445577974""",OXVA Xlim Go Pod Kit,"=""light-green""",Pods,,25%,15%,
CAT00397,"=""8101230""",,"=""4262445577981""",OXVA Xlim Go Pod Kit,"=""white""",Pods,,25%,15%,
CAT00398,"=""8101278""",,"=""4262481464948""",OXVA Xlim Go Pod Kit,"=""graffiti-pink""",Pods,,25%,15%,
CAT00399,"=""8101273""",,"=""4262481464894""",OXVA Xlim Go Pod Kit,"=""striped-grey""",Pods,,25%,15%,
CAT00400,"=""8101274""",,"=""4262481464900""",OXVA Xlim Go Pod Kit,"=""striped-blue""",Pods,,25%,15%,
CAT00401,"=""8101275""",,"=""4262481464917""",OXVA Xlim Go Pod Kit,"=""striped-orange""",Pods,,25%,15%,
CAT00402,"=""8101276""",,"=""4262481464924""",OXVA Xlim Go Pod Kit,"=""graffiti-blue""",Pods,,25%,15%,
CAT00403,"=""8101277""",,"=""4262481464931""",OXVA Xlim Go Pod Kit,"=""graffiti-black""",Pods,,25%,15%,
CAT00404,"=""8101279""",,"=""4262481464955""",OXVA Xlim Go Pod Kit,"=""luxe-brown""",Pods,,25%,15%,
CAT00405,"=""8101280""",,"=""4262481464962""",OXVA Xlim Go Pod Kit,"=""luxe-black""",Pods,,25%,15%,
CAT00406,"=""2501550""",,"=""4262445570296""",Voopoo Drag X2 Pod Kit,"=""glow-pink""",Pods,,25%,15%,
CAT00407,"=""2502090""",,"=""4262445573006""",2x Voopoo Doric Galaxy Pod Tank Verdampfer,"=""1.2""",Pods,,25%,15%,
CAT00408,"=""2502093""",,"=""4262445578315""",2x Voopoo Doric Galaxy Pod Tank Verdampfer,"=""0.7""",Pods,,25%,15%,
CAT00409,"=""1101325""",,"=""4262445578575""",Innokin Trine Pod Kit,"=""gold-pink""",Pods,,25%,15%,
CAT00410,"=""1101322""",,"=""4262445578544""",Innokin Trine Pod Kit,"=""solor-red""",Pods,,25%,15%,
CAT00411,"=""1101324""",,"=""4262445578568""",Innokin Trine Pod Kit,"=""ivory-white""",Pods,,25%,15%,
CAT00412,"=""1102152""",,"=""4262445578599""",Innokin Vcap Pod Tank Verdampfer,"=""0.8""",Pods,,25%,15%,
CAT00413,"=""6705005""",,"=""4262445577912""",Lost Vape Ursa Pod Adapter,,Pods,,25%,15%,
CAT00414,"=""2502094""",,"=""4262445579480""",2x Voopoo Argus E40 Pod Tank Verdampfer,"=""0.3""",Pods,,25%,15%,
CAT00415,"=""2502096""",,"=""4262445579503""",2x Voopoo Argus E40 Pod Tank Verdampfer,"=""0.6""",Pods,,25%,15%,
CAT00416,"=""801548""",,"=""4262445579558""",Vaporesso Luxe X2 Pod Kit,"=""light-pink""",Pods,,25%,15%,
CAT00417,"=""801552""",,"=""4262445579589""",Vaporesso Luxe X2 Pod Kit,"=""ruby-white""",Pods,,25%,15%,
CAT00418,"=""802112""",,"=""4262445579619""",2x Vaporesso Luxe X Series Mesh Pod Tank Verdampfer - Corex 2.0,"=""0.8""",Pods,,25%,15%,
CAT00419,"=""802113""",,"=""4262445579602""",2x Vaporesso Luxe X Series Mesh Pod Tank Verdampfer - Corex 2.0,"=""0.6""",Pods,,25%,15%,
CAT00420,"=""801555""",,"=""4262445579688""",4x Vaporesso XROS Series Corex 3.0 Pod Tank Verdampfer - 2ml,"=""1.2""",Pods,,25%,15%,
CAT00421,"=""801556""",,"=""4262445579671""",4x Vaporesso XROS Series Corex 3.0 Pod Tank Verdampfer - 2ml,"=""1.0""",Pods,,25%,15%,
CAT00422,"=""801557""",,"=""4262445579664""",4x Vaporesso XROS Series Corex 3.0 Pod Tank Verdampfer - 2ml,"=""0.8""",Pods,,25%,15%,
CAT00423,"=""EFL101047""",,"=""4895261110072""",ELFBAR ELFLIQ Blackberry Lemon Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00424,"=""EFL101048""",,"=""4895261110577""",ELFBAR ELFLIQ Blackberry Lemon Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00425,"=""EFL101059""",,"=""4895261110218""",ELFBAR ELFLIQ Pineapple Mango Orange Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00426,"=""EFL101060""",,"=""4895261110713""",ELFBAR ELFLIQ Pineapple Mango Orange Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00427,"=""EFL101061""",,"=""4895261110249""",ELFBAR ELFLIQ Sour Apple Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00428,"=""EFL101062""",,"=""4895261110744""",ELFBAR ELFLIQ Sour Apple Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00429,"=""EFL101063""",,"=""4895261110294""",ELFBAR ELFLIQ Strawberry Raspberry Cherry Ice Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00430,"=""EFL101064""",,"=""4895261110799""",ELFBAR ELFLIQ Strawberry Raspberry Cherry Ice Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00431,"=""EFL2001047""",,"=""4262481469011""",ELFBAR ELFLIQ Blackberry Lemon Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00432,"=""EFL2001048""",,"=""4262481469301""",ELFBAR ELFLIQ Blackberry Lemon Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00433,"=""EFL2001059""",,"=""4262481469172""",ELFBAR ELFLIQ Pineapple Mango Orange Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00434,"=""EFL2001060""",,"=""4262481469462""",ELFBAR ELFLIQ Pineapple Mango Orange Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00435,"=""EFL2001061""",,"=""4262481469202""",ELFBAR ELFLIQ Sour Apple Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00436,"=""EFL2001062""",,"=""4262481469493""",ELFBAR ELFLIQ Sour Apple Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00437,"=""EFL2001063""",,"=""4262481469257""",ELFBAR ELFLIQ Strawberry Raspberry Cherry Ice Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00438,"=""EFL2001064""",,"=""4262481469547""",ELFBAR ELFLIQ Strawberry Raspberry Cherry Ice Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00439,"=""EFA101097""",,"=""6937080575200""",2x Elfbar ELFA Refillable Pod (VE = 10Stk),"=""1.1""",Pods,,25%,15%,
CAT00440,"=""EFA4001153""",,"=""4262481460247""",2x Elfbar ELFA Refillable Pod (VE = 400Stk),"=""1.1""",Pods,,25%,15%,
CAT00441,"=""10222097""",,"=""6937080575194""",2x Elfbar ELFA Refillable Pod,"=""1.1""",Pods,,25%,15%,
CAT00442,"=""10092005""",,"=""3858895058982""",3x Kiwi Spark Pod Tank Verdampfer,"=""0.8""",Pods,,25%,15%,
CAT00443,"=""10092006""",,"=""3858895058999""",3x Kiwi Spark Pod Tank Verdampfer,"=""1.2""",Pods,,25%,15%,
CAT00444,"=""EFA101089""",,"=""6932570164537""",2x Elfbar ELFA Pod - Lemon Mint (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00445,"=""EFA101095""",,"=""6932570164513""",2x Elfbar ELFA Pod - Watermelon Cherry (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00446,"=""EFA4001145""",,"=""4262481469738""",2x Elfbar ELFA Pod - Lemon Mint (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00447,"=""EFA4001151""",,"=""4262481469912""",2x Elfbar ELFA Pod - Watermelon Cherry (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00448,"=""EFA101099""",,"=""6932570164544""",2x Elfbar ELFA Pod - Blackberry Ice (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00449,"=""EFA4001155""",,"=""4262481469608""",2x Elfbar ELFA Pod - Blackberry Ice (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00450,"=""1601387""",,"=""4262445577257""",Uwell Havok R Pod Kit,"=""silver""",Pods,,25%,15%,
CAT00451,"=""1601388""",,"=""4262445577264""",Uwell Havok R Pod Kit,"=""gray""",Pods,,25%,15%,
CAT00452,"=""1601389""",,"=""4262445577240""",Uwell Havok R Pod Kit,"=""black-wood""",Pods,,25%,15%,
CAT00453,"=""1601392""",,"=""4262445577295""",Uwell Havok R Pod Kit,"=""lake-green""",Pods,,25%,15%,
CAT00454,"=""2401113""",,"=""4262481460940""",DotMod dotPod Pro Kit,"=""red""",Pods,,25%,15%,
CAT00455,"=""2401115""",,"=""4262481460964""",DotMod dotPod Pro Kit,"=""orange""",Pods,,25%,15%,
CAT00456,"=""802116""",,"=""4262481461343""",2x Vaporesso Luxe X M Pod Tank Verdampfer - Corex 2.0,"=""0.4""",Pods,,25%,15%,
CAT00457,"=""802117""",,"=""4262481461336""",2x Vaporesso Luxe X M Pod Tank Verdampfer - Corex 2.0,"=""0.3""",Pods,,25%,15%,
CAT00458,"=""ELFL10047""",,"=""4895261109823""",ELFBAR ELFLIQ Blackberry Lemon Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00459,"=""ELFL10048""",,"=""4895261110324""",ELFBAR ELFLIQ Blackberry Lemon Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00460,"=""ELFL10059""",,"=""4895261109960""",ELFBAR ELFLIQ Pineapple Mango Orange Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00461,"=""ELFL10060""",,"=""4895261110461""",ELFBAR ELFLIQ Pineapple Mango Orange Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00462,"=""ELFL10061""",,"=""4895261109991""",ELFBAR ELFLIQ Sour Apple Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00463,"=""ELFL10062""",,"=""4895261110492""",ELFBAR ELFLIQ Sour Apple Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00464,"=""ELFL10063""",,"=""4895261110041""",ELFBAR ELFLIQ Strawberry Raspberry Cherry Ice Nikotinsalz Liquid 10 ml,"=""20mg""",ELFBAR,,25%,15%,
CAT00465,"=""ELFL10064""",,"=""4895261110546""",ELFBAR ELFLIQ Strawberry Raspberry Cherry Ice Nikotinsalz Liquid 10 ml,"=""10mg""",ELFBAR,,25%,15%,
CAT00466,"=""10222089""",,"=""6932570164223""",2x Elfbar ELFA Pod - Lemon Mint,"=""20mg""",Pods,,25%,15%,
CAT00467,"=""10222095""",,"=""6932570164209""",2x Elfbar ELFA Pod - Watermelon Cherry,"=""20mg""",Pods,,25%,15%,
CAT00468,"=""10222099""",,"=""6932570164230""",2x Elfbar ELFA Pod - Blackberry Ice,"=""20mg""",Pods,,25%,15%,
CAT00469,"=""2501675""",,"=""4262481461152""",Voopoo Argus A Pod Kit,"=""azure-blue""",Pods,,25%,15%,
CAT00470,"=""2501678""",,"=""4262481461169""",Voopoo Argus A Pod Kit,"=""phantom-red""",Pods,,25%,15%,
CAT00471,"=""2501680""",,"=""4262481461183""",Voopoo Argus A Pod Kit,"=""phantom-purple""",Pods,,25%,15%,
CAT00472,"=""2501679""",,"=""4262481461176""",Voopoo Argus A Pod Kit,"=""racing-green""",Pods,,25%,15%,
CAT00473,"=""2501682""",,"=""4262481461206""",Voopoo Argus A Pod Kit,"=""crystal-pink""",Pods,,25%,15%,
CAT00474,"=""2501681""",,"=""4262481461190""",Voopoo Argus A Pod Kit,"=""pearl-white""",Pods,,25%,15%,
CAT00475,"=""2501686""",,"=""4262481461244""",Voopoo Vmate Pro Pod Kit - Power Edition,"=""armor-blue""",Pods,,25%,15%,
CAT00476,"=""2501690""",,"=""4262481461282""",Voopoo Vmate Pro Pod Kit - Power Edition,"=""whorl-dawn""",Pods,,25%,15%,
CAT00477,"=""10222031""",,"=""6932570164070""",2x Elfbar ELFA Pod - Cherry,"=""20mg""",Pods,,25%,15%,
CAT00478,"=""10222032""",,"=""6932570165824""",2x Elfbar ELFA Pod - Cherry,"=""0mg""",Pods,,25%,15%,
CAT00479,"=""10222033""",,"=""6932570164087""",2x Elfbar ELFA Pod - Peach Ice,"=""20mg""",Pods,,25%,15%,
CAT00480,"=""10222034""",,"=""6932570165855""",2x Elfbar ELFA Pod - Peach Ice,"=""0mg""",Pods,,25%,15%,
CAT00481,"=""10222035""",,"=""6932570163981""",2x Elfbar ELFA Pod - Kiwi Passion Fruit Guava,"=""20mg""",Pods,,25%,15%,
CAT00482,"=""10222036""",,"=""6932570165831""",2x Elfbar ELFA Pod - Kiwi Passion Fruit Guava,"=""0mg""",Pods,,25%,15%,
CAT00483,"=""10222043""",,"=""6932570164094""",2x Elfbar ELFA Pod - Mix Berries,"=""20mg""",Pods,,25%,15%,
CAT00484,"=""10222044""",,"=""6932570165848""",2x Elfbar ELFA Pod - Mix Berries,"=""0mg""",Pods,,25%,15%,
CAT00485,"=""10222045""",,"=""6932570164100""",2x Elfbar ELFA Pod - Tropical Fruit,"=""20mg""",Pods,,25%,15%,
CAT00486,"=""10222046""",,"=""6932570165862""",2x Elfbar ELFA Pod - Tropical Fruit,"=""0mg""",Pods,,25%,15%,
CAT00487,"=""EFA101031""",,"=""6932570164384""",2x Elfbar ELFA Pod - Cherry (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00488,"=""EFA101032""",,"=""6932570165909""",2x Elfbar ELFA Pod - Cherry (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00489,"=""EFA101033""",,"=""6932570164391""",2x Elfbar ELFA Pod - Peach Ice (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00490,"=""EFA101034""",,"=""6932570165930""",2x Elfbar ELFA Pod - Peach Ice (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00491,"=""EFA101035""",,"=""6932570164292""",2x Elfbar ELFA Pod - Kiwi Passion Fruit Guava (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00492,"=""EFA101036""",,"=""6932570165916""",2x Elfbar ELFA Pod - Kiwi Passion Fruit Guava (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00493,"=""EFA101043""",,"=""6932570164407""",2x Elfbar ELFA Pod - Mix Berries (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00494,"=""EFA101044""",,"=""6932570165923""",2x Elfbar ELFA Pod - Mix Berries (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00495,"=""EFA101045""",,"=""6932570164414""",2x Elfbar ELFA Pod - Tropical Fruit (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00496,"=""EFA101046""",,"=""6932570165947""",2x Elfbar ELFA Pod - Tropical Fruit (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00497,"=""EFA4001031""",,"=""4262481469677""",2x Elfbar ELFA Pod - Cherry (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00498,"=""EFA4001032""",,"=""4262481469950""",2x Elfbar ELFA Pod - Cherry (VE = 400Stk),"=""0mg""",Pods,,25%,15%,
CAT00499,"=""EFA4001033""",,"=""4262481469783""",2x Elfbar ELFA Pod - Peach Ice (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00500,"=""EFA4001034""",,"=""4262481469981""",2x Elfbar ELFA Pod - Peach Ice (VE = 400Stk),"=""0mg""",Pods,,25%,15%,
CAT00501,"=""EFA4001035""",,"=""4262481469721""",2x Elfbar ELFA Pod - Kiwi Passion Fruit Guava (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00502,"=""EFA4001036""",,"=""4262481469967""",2x Elfbar ELFA Pod - Kiwi Passion Fruit Guava (VE = 400Stk),"=""0mg""",Pods,,25%,15%,
CAT00503,"=""EFA4001043""",,"=""4262481469769""",2x Elfbar ELFA Pod - Mix Berries (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00504,"=""EFA4001044""",,"=""4262481469974""",2x Elfbar ELFA Pod - Mix Berries (VE = 400Stk),"=""0mg""",Pods,,25%,15%,
CAT00505,"=""EFA4001045""",,"=""4262481469899""",2x Elfbar ELFA Pod - Tropical Fruit (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00506,"=""EFA4001046""",,"=""4262481469998""",2x Elfbar ELFA Pod - Tropical Fruit (VE = 400Stk),"=""0mg""",Pods,,25%,15%,
CAT00507,"=""10222073""",,"=""6932570164063""",2x Elfbar ELFA Pod - Apple Peach,"=""20mg""",Pods,,25%,15%,
CAT00508,"=""10222074""",,"=""6932570165800""",2x Elfbar ELFA Pod - Apple Peach,"=""0mg""",Pods,,25%,15%,
CAT00509,"=""10222079""",,"=""6932570164032""",2x Elfbar ELFA Pod - Blueberry,"=""20mg""",Pods,,25%,15%,
CAT00510,"=""10222080""",,"=""6932570165817""",2x Elfbar ELFA Pod - Blueberry,"=""0mg""",Pods,,25%,15%,
CAT00511,"=""10222085""",,"=""6932570163943""",2x Elfbar ELFA Pod - Watermelon,"=""20mg""",Pods,,25%,15%,
CAT00512,"=""10222086""",,"=""6932570165879""",2x Elfbar ELFA Pod - Watermelon,"=""0mg""",Pods,,25%,15%,
CAT00513,"=""EFA101073""",,"=""6932570164377""",2x Elfbar ELFA Pod - Apple Peach (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00514,"=""EFA101074""",,"=""6932570165886""",2x Elfbar ELFA Pod - Apple Peach (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00515,"=""EFA101079""",,"=""6932570164346""",2x Elfbar ELFA Pod - Blueberry (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00516,"=""EFA101080""",,"=""6932570165893""",2x Elfbar ELFA Pod - Blueberry (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00517,"=""EFA101085""",,"=""6932570164254""",2x Elfbar ELFA Pod - Watermelon (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00518,"=""EFA101086""",,"=""6932570165954""",2x Elfbar ELFA Pod - Watermelon (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00519,"=""EFA4001073""",,"=""4262481469578""",2x Elfbar ELFA Pod - Apple Peach (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00520,"=""EFA4001074""",,"=""4262481469936""",2x Elfbar ELFA Pod - Apple Peach (VE = 400Stk),"=""0mg""",Pods,,25%,15%,
CAT00521,"=""EFA4001079""",,"=""4262481469639""",2x Elfbar ELFA Pod - Blueberry (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00522,"=""EFA4001080""",,"=""4262481469943""",2x Elfbar ELFA Pod - Blueberry (VE = 400Stk),"=""0mg""",Pods,,25%,15%,
CAT00523,"=""EFA4001085""",,"=""4262481469905""",2x Elfbar ELFA Pod - Watermelon (VE = 400Stk),"=""20mg""",Pods,,25%,15%,
CAT00524,"=""EFA4001086""",,"=""4262481463903""",2x Elfbar ELFA Pod - Watermelon (VE = 400Stk),"=""0mg""",Pods,,25%,15%,
CAT00525,"=""TPO101013""",,"=""4262445579077""",2x Lost Mary TAPPO Prefilled Pod - Pineapple Passion Fruit Lemon (VE = 10Stk),"=""20mg""",Pods,,25%,15%,
CAT00526,"=""802118""",,"=""4262481462753""",4x Vaporesso Eco One Pod Tank Verdampfer,"=""0.8""",Pods,,25%,15%,
CAT00527,"=""802119""",,"=""4262481462760""",4x Vaporesso Eco One Pod Tank Verdampfer,"=""1.2""",Pods,,25%,15%,
CAT00528,"=""802120""",,"=""4262481463446""",2x Vaporesso Eco Nano Pod Tank Verdampfer,"=""0.6""",Pods,,25%,15%,
CAT00529,"=""802121""",,"=""4262481463453""",2x Vaporesso Eco Nano Pod Tank Verdampfer,"=""0.8""",Pods,,25%,15%,
CAT00530,"=""802122""",,"=""4262481463460""",2x Vaporesso Eco Nano Pod Tank Verdampfer,"=""1.2""",Pods,,25%,15%,
CAT00531,"=""4601082""",,"=""4262481462487""",Rincoe Manto Nano Z2 Pod Kit,"=""gold""",Pods,,25%,15%,
CAT00532,"=""4601083""",,"=""4262481462463""",Rincoe Manto Nano Z2 Pod Kit,"=""midnight-green""",Pods,,25%,15%,
CAT00533,"=""4601085""",,"=""4262481462456""",Rincoe Manto Nano Z2 Pod Kit,"=""shadow-blue""",Pods,,25%,15%,
CAT00534,"=""4601086""",,"=""4262481462494""",Rincoe Manto Nano Z2 Pod Kit,"=""shiny-pink""",Pods,,25%,15%,
CAT00535,"=""4601087""",,"=""4262481462470""",Rincoe Manto Nano Z2 Pod Kit,"=""glacier-green""",Pods,,25%,15%,
CAT00536,"=""1201526""",,"=""4262481462920""",Geekvape Wenax S3 Evo Pod Kit,"=""black""",Pods,,25%,15%,
CAT00537,"=""1201527""",,"=""4262481462944""",Geekvape Wenax S3 Evo Pod Kit,"=""gunmetal""",Pods,,25%,15%,
CAT00538,"=""1201528""",,"=""4262481462951""",Geekvape Wenax S3 Evo Pod Kit,"=""blue""",Pods,,25%,15%,
CAT00539,"=""1201529""",,"=""4262481462968""",Geekvape Wenax S3 Evo Pod Kit,"=""champagne""",Pods,,25%,15%,
CAT00540,"=""1201530""",,"=""4262481462975""",Geekvape Wenax S3 Evo Pod Kit,"=""purple""",Pods,,25%,15%,
CAT00541,"=""10551001""",,"=""6937080511949""",2x Elfbar Elfa Turbo Refillable Pod,"=""0.8""",Pods,,25%,15%,
CAT00542,"=""TRE101001""",,"=""6937080511956""",2x Elfbar Elfa Turbo Refillable Pod (VE = 10Stk),"=""0.8""",Pods,,25%,15%,
CAT00543,"=""TRE201001""",,"=""4262481460254""",2x Elfbar Elfa Turbo Refillable Pod (VE = 400Stk),"=""0.8""",Pods,,25%,15%,
CAT00544,"=""10514001""",,"=""6975534731949""",Hoosh E-Head Pod - Amalfi Breeze,"=""0mg""",Pods,,25%,15%,
CAT00545,"=""10514002""",,"=""6975534731895""",Hoosh E-Head Pod - Arabian Nights,"=""0mg""",Pods,,25%,15%,
CAT00546,"=""10514003""",,"=""6975534731925""",Hoosh E-Head Pod - Blue Glacier,"=""0mg""",Pods,,25%,15%,
CAT00547,"=""10514004""",,"=""6975534731901""",Hoosh E-Head Pod - Emerald Dream,"=""0mg""",Pods,,25%,15%,
CAT00548,"=""10514005""",,"=""6975534731888""",Hoosh E-Head Pod - Love DXB,"=""0mg""",Pods,,25%,15%,
CAT00549,"=""10514006""",,"=""6975534731932""",Hoosh E-Head Pod - Pink Kiss,"=""0mg""",Pods,,25%,15%,
CAT00550,"=""10514007""",,"=""6975534731918""",Hoosh E-Head Pod - Purple Chill,"=""0mg""",Pods,,25%,15%,
CAT00551,"=""HSH101001""",,"=""6975534732519""",Hoosh E-Head Pod - Amalfi Breeze (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00552,"=""HSH101002""",,"=""6975534732564""",Hoosh E-Head Pod - Arabian Nights (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00553,"=""HSH101003""",,"=""6975534732533""",Hoosh E-Head Pod - Blue Glacier (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00554,"=""HSH101004""",,"=""6975534732557""",Hoosh E-Head Pod - Emerald Dream (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00555,"=""HSH101005""",,"=""6975534732571""",Hoosh E-Head Pod - Love DXB (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00556,"=""HSH101006""",,"=""6975534732526""",Hoosh E-Head Pod - Pink Kiss (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00557,"=""HSH101007""",,"=""6975534732540""",Hoosh E-Head Pod - Purple Chill (VE = 10Stk),"=""0mg""",Pods,,25%,15%,
CAT00558,"=""1602144""",,"=""4262481462296""",4x Uwell Caliburn G3 GPP V1 Pod Tank Verdampfer - 3 ml,"=""0.4""",Pods,,25%,15%,
CAT00559,"=""9502012""",,"=""4262481464122""",2x Nevoks X Pod Tank Verdampfer,"=""0.2""",Pods,,25%,15%,
CAT00560,"=""9502014""",,"=""4262481464146""",2x Nevoks X Pod Tank Verdampfer,"=""0.4""",Pods,,25%,15%,
CAT00561,"=""9502015""",,"=""4262481464153""",2x Nevoks X Pod Tank Verdampfer,"=""0.6""",Pods,,25%,15%,
CAT00562,"=""9502013""",,"=""4262481464139""",2x Nevoks X Pod Tank Verdampfer,"=""0.3""",Pods,,25%,15%,
CAT00563,"=""9502016""",,,2x Nevoks X Pod Tank Verdampfer,"=""0.8""",Pods,,25%,15%,
CAT00564,"=""1202278""",,"=""4262481463286""",3x GeekVape Q Pod Tank Verdampfer - 3 ml,"=""0.6""",Pods,,25%,15%,
CAT00565,"=""1202279""",,"=""4262481463293""",3x GeekVape Q Pod Tank Verdampfer - 3 ml,"=""0.8""",Pods,,25%,15%,
CAT00566,"=""302160""",,"=""4262481464863""",2x Eleaf iCita Pod Tank Verdampfer,"=""0.3""",Pods,,25%,15%,
CAT00567,"=""302162""",,"=""4262481464887""",2x Eleaf iCita Pod Tank Verdampfer,"=""0.8""",Pods,,25%,15%,
CAT00568,"=""302161""",,"=""4262481464870""",2x Eleaf iCita Pod Tank Verdampfer,"=""0.6""",Pods,,25%,15%,
CAT00569,"=""2502091""",,"=""4262445577493""",3x Voopoo Argus Pod Tank Verdampfer 3ml - Top Fill,"=""0.4""",Pods,,25%,15%,
CAT00570,"=""2402085""",,"=""4262481465921""",DotMod dotpod Max Tank Verdampfer - Ohne Coil,"=""clear""",Pods,,25%,15%,
